Название вакансии,Минимальная зарплата,Максимальная зарплата,Опыт работы,Образование,Компания,Город,Адрес,Широта,Долгота,Метро,Ссылка,Источник
Парикмахер-универсал,60000.0,200000.0,от 3 лет,любое,Шевченко Татьяна Анатольевна,Москва,"Петровский парк, Петровский парк,г Москва, ул Верхняя Масловка, д 28",55.7992373,37.5592834,"['Петровский парк,', 'Петровский парк']",https://www.rabota.ru/vacancy/54255960/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Ведущий научный сотрудник,150000.0,,от 1 года,высшее,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,Москва,"Бутырская,г Москва, ул Добролюбова, д 11",55.8144303,37.5923974,['Бутырская'],https://www.rabota.ru/vacancy/54244351/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер на доставку сантехники,,,без опыта,любое,Яндекс.Доставка,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54238467/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер на личном авто,,,без опыта,любое,Яндекс.Доставка,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54238448/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Медицинский писатель (Координационный центр федерального проекта),,,от 1 года,высшее,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,Москва,"Гражданская,г Москва, ул Вучетича, д 12",55.8097578,37.5609621,['Гражданская'],https://www.rabota.ru/vacancy/54223769/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер по доставке продуктов,,,без опыта,любое,Яндекс.Доставка,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54219184/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Маляр на кузнечное производство,80000.0,90000.0,от 1 года,любое,"ООО ""СГ""",Москва,"Бутырская,г Москва, Огородный проезд, д 9",55.8110367,37.6020669,['Бутырская'],https://www.rabota.ru/vacancy/53919291/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-экспедитор категории C,120000.0,140000.0,от 1 года,среднее профессиональное,Альфа транс,Москва,"Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",55.7189013,37.7592642,"['Стахановская ,', 'Окская']",https://www.rabota.ru/vacancy/53745521/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер с личным автомобилем,261900.0,371000.0,без опыта,любое,Парк7778,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/50258792/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-экспедитор категории В,90000.0,150000.0,от 3 лет,среднее профессиональное,Альфа транс,Москва,"Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",55.7189013,37.7592642,"['Стахановская ,', 'Окская']",https://www.rabota.ru/vacancy/49683003/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
