Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Парикмахер-универсал,60000— 200000 руб.,"['диплом об окончании курсов парикмахеров', 'Работа с накладными волосами']","['Вакансия недели', 'Быстрый отклик']",Шевченко Татьяна Анатольевна,"['Петровский парк,', 'Петровский парк']","Петровский парк, Петровский парк,г Москва, ул Верхняя Масловка, д 28",Москва,Работа в сфере красоты,Парикмахер,от 3 лет,любое,https://www.rabota.ru/vacancy/54255960/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,200000
Ведущий научный сотрудник,от 150000 руб.,"['MS Office', 'MS Office  Excel', 'MS Office Word', 'бюджетирование', 'ведение деловой переписки', 'составление отчетов', 'анализ рынка', 'составление отчетности', 'планирование работ', 'управление проектами', 'написание статей', 'Статистика', 'Выполнение научно-исследовательской работы', 'Формирование отчетов о проделанной работы']",Без тега,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Бутырская'],"Бутырская,г Москва, ул Добролюбова, д 11",Москва,Работа в сфере образования,Научный сотрудник,от 1 года,высшее,https://www.rabota.ru/vacancy/54244351/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
Медицинский писатель (Координационный центр федерального проекта),по договоренности,"['коммуникабельность', 'ведение переговоров', 'MS Office Word', 'английский язык']",Без тега,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,['Гражданская'],"Гражданская,г Москва, ул Вучетича, д 12",Москва,Работа в сфере культуры,Писатель,от 1 года,высшее,https://www.rabota.ru/vacancy/54223769/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Маляр на кузнечное производство,80000— 90000 руб.,"['малярные работы', 'покраска']",Без тега,"ООО ""СГ""",['Бутырская'],"Бутырская,г Москва, Огородный проезд, д 9",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/53919291/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,90000
Водитель-экспедитор категории C,120000— 140000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/53745521/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,120000,140000
Водитель-экспедитор категории В,90000— 150000 руб.,"['пунктуальность', 'устройство автомобилей', 'перевозка грузов', 'знание Москвы и Московской области', 'экспедирование', 'спокойный стиль вождения', 'работоспособность', 'водительские права BC']",['Вакансия недели'],Альфа транс,"['Стахановская ,', 'Окская']","Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",Москва,Экспедитор,Водитель-экспедитор,от 3 лет,среднее профессиональное,https://www.rabota.ru/vacancy/49683003/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,150000
Главный инженер,80000— 100000 руб.,"['работа с технической документацией', 'техника безопасности', 'ведение объектов', 'противопожарная безопасность', 'технадзор', 'работа с подрядными организациями', 'контроль качества выполнения работ', 'эксплуатация инженерных систем']","['Вакансия недели', 'Пенсионерам']",Государственное бюджетное учреждение культуры города Москвы &amp;quot;Московский детский театр теней&amp;quot;,['Первомайская'],"Первомайская,г Москва, Измайловский б-р, д 60/10",Москва,Работа на производстве,,от 5 лет,высшее,https://www.rabota.ru/vacancy/49350180/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,100000
Повар-универсал,100000— 120000 руб.,нет,Без тега,ООО Мишлена,['Верхние котлы'],"Верхние котлы,г Москва, метро Верхние Котлы",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/36843243/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,120000
Инженер-бактериолог,87000 руб.,"['ответственность', 'контроль качества', 'лабораторные работы', 'проведение лабораторных исследований', 'приготовление питательных сред']",Без тега,"АО ""Меридиан""",['Ховрино'],"Ховрино,г Москва, ул Ижорская, д 7",Москва,,,от 1 года,высшее,https://www.rabota.ru/vacancy/54239740/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,87000,
Кладовщик-грузчик,90000— 120000 руб.,"['распределение товара', 'комплектация товара']",Без тега,"РАВТ, ООО",['Саларьево'],"Саларьево,г Москва, р-н Коммунарка, ул Адмирала Корнилова, д 61",Москва,,,без опыта,любое,https://www.rabota.ru/vacancy/52529658/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,120000
