,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
5340,Оператор колл-центра / Диспетчер по приёму обращений от населения в сфере ЖКХ,50000— 65000 руб.,"['грамотность', 'грамотная речь', 'обучаемость', 'уверенный пользователь ПК', 'консультирование пользователей', 'Работа в команде']","['Вакансия недели', 'Быстрый отклик']",Магистральные Сети Связи,['Звездная'],"Звездная,г Санкт-Петербург, ул Звёздная, д 1",Санкт-Петербург,Работа в офисе,Диспетчер,без опыта,среднее,https://spb.rabota.ru/vacancy/54256935/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,50000,65000
5341,Оператор call-центра,75000— 90000 руб.,"['обучаемость', 'общение с клиентами', 'исходящие звонки', 'общение по телефону']","['Вакансия недели', 'Студентам']",Глеавто,"['Московская,', 'Звездная,', 'Купчино,', 'Дунайская']","Московская, Звездная, Купчино, Дунайская,г Санкт-Петербург, Московское шоссе, д 25 к 1",Санкт-Петербург,Консультант,,без опыта,любое,https://spb.rabota.ru/vacancy/54254952/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,75000,90000
5342,Специалист по работе со входящими клиентами (автосалон),от 100000 руб.,"['стрессоустойчивость', 'грамотная речь', 'консультирование клиентов', 'телефонные переговоры', 'продажи', 'исходящие звонки', 'консультированиe клиентов', 'общение по телефону']","['Вакансия недели', 'Студентам']",Глеавто,['Звездная'],"Звездная,г Санкт-Петербург",Санкт-Петербург,,,от 1 года,любое,https://spb.rabota.ru/vacancy/54254932/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,100000,
5345,Продавец-консультант (Варшавская 23к4),53000— 62000 руб.,"['ответственность', 'пунктуальность', 'умение работать в команде', 'доброжелательность', 'вежливость', 'общение с клиентами', 'работа в торговом зале', 'консультирование', 'консультирование покупателей']",Без тега,"ООО ""ВОТОНЯ""","['Парк Победы,', 'Московская']","Парк Победы, Московская,г Санкт-Петербург, ул Варшавская, д 23 к 4",Санкт-Петербург,,,без опыта,любое,https://spb.rabota.ru/vacancy/54254307/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,53000,62000
5346,Инструктор ЛФК,от 100000 руб.,"['ЛФК', 'АФК']","['Вакансия недели', 'Пенсионерам', 'Студентам']","ООО ""Опека-МСК""",['Черная речка'],"Черная речка,г Санкт-Петербург, Приморский пр-кт, д 35а литера А",Санкт-Петербург,Работа в сфере красоты,Инструктор,от 1 года,среднее профессиональное,https://spb.rabota.ru/vacancy/54254216/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,100000,
5347,Врач-терапевт,от 144000 руб.,"['ведение медицинской документации', 'лечение пациентов', 'диагностика заболеваний', 'действующий сертификат', 'осмотр пациентов']",Без тега,"ООО ""Опека-МСК""",['Площадь Ленина'],"Площадь Ленина,г Санкт-Петербург, ул Комиссара Смирнова, д 4а",Санкт-Петербург,,,от 3 лет,высшее,https://spb.rabota.ru/vacancy/54254185/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,144000,
5348,Сортировщик мусора на завод,от 82000 руб.,"['ответственность', 'стрессоустойчивость', 'фасовка продукции']","['Вакансия недели', 'Студентам']",Кадровое агентство от Работа.ру,['Обухово'],"Обухово,г Санкт-Петербург, Грузовой проезд, д 12 к 1",Санкт-Петербург,Работа на складах,Фасовщик,без опыта,любое,https://spb.rabota.ru/vacancy/54253601/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,82000,
5350,Менеджер по работе с клиентами,80000— 90000 руб.,"['пунктуальность', 'стрессоустойчивость', 'грамотная речь', 'клиентоориентированность', 'обучаемость', 'ведение клиентской базы', 'телефонные переговоры', 'подготовка коммерческих предложений', 'ведение заказов', '1С:Торговля и Склад', 'исходящие звонки', 'Работа в команде']",Без тега,Ортос СПб,['Проспект Большевиков'],"Проспект Большевиков,г Санкт-Петербург, ул Чудновского, д 19 литера А",Санкт-Петербург,Менеджер по работе с клиентами,,от 1 года,высшее,https://spb.rabota.ru/vacancy/48506825/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,80000,90000
5354,"Продавец-кассир (Николая Рубцова ул, д.13)",до 67267 руб.,"['доброжелательность', 'выкладка товара', 'мерчендайзинг', '1С', 'прием товара', 'кассовая документация', 'прием товар', 'без опыта']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО",['Парнас'],"Парнас,г Санкт-Петербург, поселок Парголово, ул Николая Рубцова, д 13",Санкт-Петербург,Работа в торговле,Продавец,без опыта,любое,https://spb.rabota.ru/vacancy/50387647/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,67267
5355,"Продавец-кассир (Суздальское ш, д.18)",до 67074 руб.,"['доброжелательность', 'выкладка товара', 'мерчендайзинг', '1С', 'прием товара', 'кассовая документация', 'прием товар', 'без опыта']","['Пенсионерам', 'Студентам']","ДИКСИ Юг, АО","['Парнас,', 'Проспект Просвещения,', 'Озерки']","Парнас, Проспект Просвещения, Озерки,г Санкт-Петербург, Суздальское шоссе, д 18 к 3 стр 1",Санкт-Петербург,Работа в торговле,Продавец,без опыта,любое,https://spb.rabota.ru/vacancy/50411375/?search_id=17755186292718zqfr2imu88&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,67074
