id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
31948884,Системный администратор,65000,0,rub,"['IT, Интернет, связь, телеком']","['Системное администрирование', 'Техническая поддержка']",Санкт-Петербург,"['Петроградская', 'Чёрная Речка']","['Московско-Петроградская', 'Московско-Петроградская']","['blue', 'blue']","Санкт-Петербург, Большая аллея, 22Ж",2756555,,50 — 100,8.0,Санкт-Петербургский морской рыбопромышленный колледж,От 1 года,Полный рабочий день,Не имеет значения,59.980118,30.2798,https://spb.superjob.ru/vakansii/sistemnyj-administrator-31948884.html
50742146,Администратор магазина,94900,113900,rub,"['Промышленность, производство', 'IT, Интернет, связь, телеком']","['Промышленное оборудование', 'Внедрение и сопровождение ПО']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Дыбенко, 14",2635306,,более 5000,49868.0,Пятёрочка,От 1 года,Полный рабочий день,Не имеет значения,59.903267,30.465429,https://spb.superjob.ru/vakansii/administrator-magazina-50742146.html
46781727,Системный администратор,45000,0,rub,"['IT, Интернет, связь, телеком']","['Сетевые технологии', 'Системное администрирование', 'Внедрение и сопровождение ПО', 'Информационная безопасность']",Санкт-Петербург,"['Невский Проспект', 'Гостиный Двор', 'Василеостровская']","['Московско-Петроградская', 'Невско-Василеостровская', 'Невско-Василеостровская']","['blue', 'green', 'green']",Санкт-Петербург,3758350,,менее 50,2.0,Государственная библиотека,От 6 лет,Полный рабочий день,Высшее,59.938953,30.315643,https://spb.superjob.ru/vakansii/sistemnyj-administrator-46781727.html
51673017,Инженер по АСУ ТП (ТЭЦ-21),95526,95526,rub,"['IT, Интернет, связь, телеком', 'Промышленность, производство']","['Инжиниринг', 'Промышленное оборудование']",Санкт-Петербург,"['Гражданский Проспект', 'Девяткино', 'Проспект Просвещения']","['Кировско-Выборгская', 'Кировско-Выборгская', 'Московско-Петроградская']","['red', 'red', 'blue']","Ленинградская область, Всеволожский район, деревня Новое Девяткино",289082,,более 5000,60.0,Территориальная генерирующая компания №1,От 1 года,Полный рабочий день,Не имеет значения,60.057323,30.47637,https://spb.superjob.ru/vakansii/inzhener-po-asu-tp-51673017.html
51729020,Инженер 1 категории (отдел по работе с обращениями граждан),75000,0,rub,"['Административная работа, секретариат, АХО', 'IT, Интернет, связь, телеком']","['Делопроизводство', 'Диспетчерская служба', 'Другое', 'Инжиниринг']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Тарасова улица, 8к1",4849983,,500 — 1000,0.0,Жилищное агентство Красногвардейского района Санкт-Петербурга,От 1 года,Полный рабочий день,Среднее специальное,59.949829,30.412159,https://spb.superjob.ru/vakansii/inzhener-1-kategorii-51729020.html
50863757,Системный администратор,60000,86000,rub,"['IT, Интернет, связь, телеком']","['Интернет, создание и поддержка сайтов', 'Системное администрирование', 'Внедрение и сопровождение ПО']",Санкт-Петербург,"['Пушкинская', 'Звенигородская']","['Кировско-Выборгская', 'Фрунзенско-Приморская']","['red', 'violet']","Санкт-Петербург, Звенигородская улица, 22",3959568,,100 — 500,16.0,"СПб ГКУ ""Центр организации социального обслуживания""",От 1 года,Полный рабочий день,Не имеет значения,59.918644,30.341379,https://spb.superjob.ru/vakansii/sistemnyj-administrator-50863757.html
51697801,Специалист по информационным технологиям (Санкт-Петербург),39150,65250,rub,"['IT, Интернет, связь, телеком']","['Администрирование баз данных', 'Системное администрирование', 'Телекоммуникации и связь', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",Санкт-Петербург,[],[],[],,11714,,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,От 1 года,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/specialist-po-informacionnym-tehnologiyam-51697801.html
51697816,Системный администратор,0,40000,rub,"['IT, Интернет, связь, телеком']","['Администрирование баз данных', 'Сетевые технологии', 'Системное администрирование', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",Санкт-Петербург,"['Чернышевская', 'Невский Проспект', 'Гостиный Двор']","['Кировско-Выборгская', 'Московско-Петроградская', 'Невско-Василеостровская']","['red', 'blue', 'green']","Санкт-Петербург, улица Пестеля, 2",11714,,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,От 1 года,Полный рабочий день,Не имеет значения,59.942455,30.339897,https://spb.superjob.ru/vakansii/sistemnyj-administrator-51697816.html
51728835,Инженер-программист,0,0,rub,"['IT, Интернет, связь, телеком']","['Инжиниринг', 'Разработка, программирование']",Санкт-Петербург,[],[],[],,4273213,,500 — 1000,5.0,Черногорская ГРК,От 3 лет,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/inzhener-programmist-51728835.html
51780001,Электромеханик / электронщик,80000,90000,rub,"['IT, Интернет, связь, телеком', 'Строительство, проектирование, недвижимость', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Инжиниринг', 'Электроснабжение', 'Слаботочные системы и сети', 'Промышленное оборудование', 'Квалифицированный рабочий']",Санкт-Петербург,[],[],[],"г Санкт-Петербург, наб Обводного канала, д 148 к 2",3797376,,менее 50,337.0,JOBCART.RU,От 1 года,Полный рабочий день,Не имеет значения,59.908154,30.2708,https://spb.superjob.ru/vakansii/elektromehanik-51780001.html
51810218,Ведущий инженер по системному администрированию,77250,104000,rub,"['IT, Интернет, связь, телеком']","['Инжиниринг', 'Сетевые технологии', 'Системная интеграция', 'Системное администрирование']",Санкт-Петербург,"['Садовая', 'Адмиралтейская']","['Фрунзенско-Приморская', 'Фрунзенско-Приморская']","['violet', 'violet']","Санкт-Петербург, Сенатская площадь, 3",860291,,100 — 500,5.0,ФГБУ Президентская библиотека им. Б. Н. Ельцина,От 3 лет,Полный рабочий день,Не имеет значения,59.935089,30.302223,https://spb.superjob.ru/vakansii/veduschij-inzhener-po-sistemnomu-administrirovaniyu-51810218.html
44506125,Преподаватель Технической эксплуатации телекоммуникационного оборудования узлов диспетчерского управ,70000,0,rub,"['IT, Интернет, связь, телеком']",['Внедрение и сопровождение ПО'],Санкт-Петербург,[],[],[],"Санкт-Петербург, Учительская улица,1",3382148,,100 — 500,14.0,СПБ ГБПОУ КОЛЛЕДЖ АВТОМАТИЗАЦИИ ПРОИЗВОДСТВА,От 1 года,Полный рабочий день,Высшее,,,https://spb.superjob.ru/vakansii/prepodavatel-tehnicheskoj-ekspluatacii-telekommunikacionnogo-oborudovaniya-uzlov-dispetcherskogo-uprav-44506125.html
45885710,"Инженер ИТ, инспектор информационных технологий связи",75000,90000,rub,"['IT, Интернет, связь, телеком']","['Инжиниринг', 'Разработка, программирование', 'Техническая поддержка']",Санкт-Петербург,"['Площадь Ленина', 'Лесная']","['Кировско-Выборгская', 'Кировско-Выборгская']","['red', 'red']","Санкт-Петербург, Минеральная улица, 3-5",3117918,,500 — 1000,3.0,УМВД России по Калининскому району г. Санкт-Петербурга,Без опыта,Полный рабочий день,Высшее,59.96653,30.381435,https://spb.superjob.ru/vakansii/inzhener-it-45885710.html
46645470,Испытатель-тестировщик,40000,70000,rub,"['IT, Интернет, связь, телеком']","['Тестирование, QA']",Санкт-Петербург,['Ленинский проспект'],['Кировско-Выборгская'],['red'],"Санкт-Петербург, проспект Стачек, 140",89813,,50 — 100,1.0,Ассоциация ВАСТ,Без опыта,Полный рабочий день,Не имеет значения,59.85527,30.24827,https://spb.superjob.ru/vakansii/ispytatel-testirovschik-46645470.html
49957305,Инженер 2 категории АСУ ТП,109000,0,rub,"['IT, Интернет, связь, телеком', 'Промышленность, производство']","['Инжиниринг', 'Промышленное оборудование']",Санкт-Петербург,"['Проспект Ветеранов', 'Ленинский проспект', 'Автово', 'Московская']","['Кировско-Выборгская', 'Кировско-Выборгская', 'Кировско-Выборгская', 'Московско-Петроградская']","['red', 'red', 'red', 'blue']","Санкт-Петербург, улица Доблести, 1",397825,,100 — 500,12.0,Юго-Западная ТЭЦ,Без опыта,Полный рабочий день,Высшее,59.869804,30.185999,https://spb.superjob.ru/vakansii/inzhener-2-kategorii-asu-tp-49957305.html
37047811,Инженер-программист АСУ ТП / Программист промышленных контроллеров,120000,160000,rub,"['IT, Интернет, связь, телеком', 'Промышленность, производство']","['Инжиниринг', 'Разработка, программирование', 'Машиностроение, станкостроение', 'Промышленное оборудование']",Санкт-Петербург,"['Площадь Александра Невского 1', 'Площадь Александра Невского 2']","['Невско-Василеостровская', 'Правобережная']","['green', 'yellow']","Санкт-Петербург, улица Профессора Качалова, 7",35359,,менее 50,1375.0,ВЕРТЕК,От 3 лет,Полный рабочий день,Высшее,59.91428,30.396284,https://spb.superjob.ru/vakansii/inzhener-programmist-asu-tp-37047811.html
