id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка,Средняя зарплата
50742146,Администратор магазина,94900,113900,rub,"['Промышленность, производство', 'IT, Интернет, связь, телеком']","['Промышленное оборудование', 'Внедрение и сопровождение ПО']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Дыбенко, 14",2635306,более 5000,49868.0,Пятёрочка,От 1 года,Полный рабочий день,Не имеет значения,59.903267,30.465429,https://spb.superjob.ru/vakansii/administrator-magazina-50742146.html,104400.0
51673017,Инженер по АСУ ТП (ТЭЦ-21),95526,95526,rub,"['IT, Интернет, связь, телеком', 'Промышленность, производство']","['Инжиниринг', 'Промышленное оборудование']",Санкт-Петербург,"['Гражданский Проспект', 'Девяткино', 'Проспект Просвещения']","['Кировско-Выборгская', 'Кировско-Выборгская', 'Московско-Петроградская']","['red', 'red', 'blue']","Ленинградская область, Всеволожский район, деревня Новое Девяткино",289082,более 5000,60.0,Территориальная генерирующая компания №1,От 1 года,Полный рабочий день,Не имеет значения,60.057323,30.47637,https://spb.superjob.ru/vakansii/inzhener-po-asu-tp-51673017.html,95526.0
50863757,Системный администратор,60000,86000,rub,"['IT, Интернет, связь, телеком']","['Интернет, создание и поддержка сайтов', 'Системное администрирование', 'Внедрение и сопровождение ПО']",Санкт-Петербург,"['Пушкинская', 'Звенигородская']","['Кировско-Выборгская', 'Фрунзенско-Приморская']","['red', 'violet']","Санкт-Петербург, Звенигородская улица, 22",3959568,100 — 500,16.0,"СПб ГКУ ""Центр организации социального обслуживания""",От 1 года,Полный рабочий день,Не имеет значения,59.918644,30.341379,https://spb.superjob.ru/vakansii/sistemnyj-administrator-50863757.html,73000.0
51697801,Специалист по информационным технологиям (Санкт-Петербург),39150,65250,rub,"['IT, Интернет, связь, телеком']","['Администрирование баз данных', 'Системное администрирование', 'Телекоммуникации и связь', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",Санкт-Петербург,[],[],[],,11714,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,От 1 года,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/specialist-po-informacionnym-tehnologiyam-51697801.html,52200.0
51780001,Электромеханик / электронщик,80000,90000,rub,"['IT, Интернет, связь, телеком', 'Строительство, проектирование, недвижимость', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Инжиниринг', 'Электроснабжение', 'Слаботочные системы и сети', 'Промышленное оборудование', 'Квалифицированный рабочий']",Санкт-Петербург,[],[],[],"г Санкт-Петербург, наб Обводного канала, д 148 к 2",3797376,менее 50,337.0,JOBCART.RU,От 1 года,Полный рабочий день,Не имеет значения,59.908154,30.2708,https://spb.superjob.ru/vakansii/elektromehanik-51780001.html,85000.0
51810218,Ведущий инженер по системному администрированию,77250,104000,rub,"['IT, Интернет, связь, телеком']","['Инжиниринг', 'Сетевые технологии', 'Системная интеграция', 'Системное администрирование']",Санкт-Петербург,"['Садовая', 'Адмиралтейская']","['Фрунзенско-Приморская', 'Фрунзенско-Приморская']","['violet', 'violet']","Санкт-Петербург, Сенатская площадь, 3",860291,100 — 500,5.0,ФГБУ Президентская библиотека им. Б. Н. Ельцина,От 3 лет,Полный рабочий день,Не имеет значения,59.935089,30.302223,https://spb.superjob.ru/vakansii/veduschij-inzhener-po-sistemnomu-administrirovaniyu-51810218.html,90625.0
45885710,"Инженер ИТ, инспектор информационных технологий связи",75000,90000,rub,"['IT, Интернет, связь, телеком']","['Инжиниринг', 'Разработка, программирование', 'Техническая поддержка']",Санкт-Петербург,"['Площадь Ленина', 'Лесная']","['Кировско-Выборгская', 'Кировско-Выборгская']","['red', 'red']","Санкт-Петербург, Минеральная улица, 3-5",3117918,500 — 1000,3.0,УМВД России по Калининскому району г. Санкт-Петербурга,Без опыта,Полный рабочий день,Высшее,59.96653,30.381435,https://spb.superjob.ru/vakansii/inzhener-it-45885710.html,82500.0
46645470,Испытатель-тестировщик,40000,70000,rub,"['IT, Интернет, связь, телеком']","['Тестирование, QA']",Санкт-Петербург,['Ленинский проспект'],['Кировско-Выборгская'],['red'],"Санкт-Петербург, проспект Стачек, 140",89813,50 — 100,1.0,Ассоциация ВАСТ,Без опыта,Полный рабочий день,Не имеет значения,59.85527,30.24827,https://spb.superjob.ru/vakansii/ispytatel-testirovschik-46645470.html,55000.0
37047811,Инженер-программист АСУ ТП / Программист промышленных контроллеров,120000,160000,rub,"['IT, Интернет, связь, телеком', 'Промышленность, производство']","['Инжиниринг', 'Разработка, программирование', 'Машиностроение, станкостроение', 'Промышленное оборудование']",Санкт-Петербург,"['Площадь Александра Невского 1', 'Площадь Александра Невского 2']","['Невско-Василеостровская', 'Правобережная']","['green', 'yellow']","Санкт-Петербург, улица Профессора Качалова, 7",35359,менее 50,1375.0,ВЕРТЕК,От 3 лет,Полный рабочий день,Высшее,59.91428,30.396284,https://spb.superjob.ru/vakansii/inzhener-programmist-asu-tp-37047811.html,140000.0
50872329,Ведущий специалист управления персонифицированного учета,45000,50000,rub,"['IT, Интернет, связь, телеком', 'Государственная служба']","['Аналитика', 'Социальная служба']",Санкт-Петербург,['Ладожская'],['Правобережная'],['yellow'],"Санкт-Петербург, проспект Энергетиков, д. 60 корп. 2, лит А",4887815,более 5000,62.0,Социальный фонд России,От 1 года,Полный рабочий день,Не имеет значения,59.969421,30.434275,https://spb.superjob.ru/vakansii/veduschij-specialist-upravleniya-personificirovannogo-ucheta-50872329.html,47500.0
