id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
51593793,Практикант / стажёр Документовед,0,0,rub,"['Административная работа, секретариат, АХО', 'IT, Интернет, связь, телеком']","['Делопроизводство', 'Начало карьеры, мало опыта', 'Ввод данных, систематизация', 'Начало карьеры, мало опыта']",Москва,[],[],[],,4942669,,менее 50,3.0,Росатом,Без опыта,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/praktikant-51593793.html
51596924,Стажер в IT отдел,0,0,rub,"['IT, Интернет, связь, телеком']","['Начало карьеры, мало опыта']",Москва,[],[],[],,4942854,,менее 50,4.0,Аэрофлот,Без опыта,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/stazher-v-it-otdel-51596924.html
51698248,Senior Python-разработчик,0,575000,rub,"['IT, Интернет, связь, телеком']","['Разработка, программирование', 'Нейросети / Искусственный интеллект', 'AI']",Москва,[],[],[],,4942874,,менее 50,5.0,Точка банк,От 3 лет,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/senior-python-razrabotchik-51698248.html
51646103,Project менеджер,0,0,rub,"['IT, Интернет, связь, телеком']",['Управление проектами'],Москва,[],[],[],,4944790,,менее 50,0.0,Лаборатория Касперского,От 1 года,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/project-menedzher-51646103.html
51646140,Стажёр аналитик продаж в департамент розничных продаж,0,0,rub,"['IT, Интернет, связь, телеком', 'Продажи']","['Аналитика', 'Начало карьеры, мало опыта']",Москва,[],[],[],,4905642,,менее 50,13.0,Альфа-Банк: Старт карьеры,Без опыта,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/stazhjor-analitik-prodazh-v-departament-roznichnyh-prodazh-51646140.html
51646147,Контент-креатор стажер,0,0,rub,"['IT, Интернет, связь, телеком']",['Контент'],Москва,[],[],[],,4935016,,менее 50,7.0,Duolingo,Без опыта,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/kontent-kreator-stazher-51646147.html
51668617,Младший QA-инженер,0,0,rub,"['IT, Интернет, связь, телеком']","['Тестирование, QA']",Москва,[],[],[],,4904563,,более 5000,2.0,VK: Старт карьеры,От 1 года,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/mladshij-qa-inzhener-51668617.html
51690993,Младший менеджер проектов,0,0,rub,"['IT, Интернет, связь, телеком']","['Начало карьеры, мало опыта']",Москва,[],[],[],,4905942,,более 5000,13.0,OZON: Старт карьеры,Без опыта,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/mladshij-menedzher-proektov-51690993.html
51692814,Стажер DATA SCIENTIST,0,0,rub,"['IT, Интернет, связь, телеком']","['Начало карьеры, мало опыта', 'Data Science', 'Нейросети / Искусственный интеллект', 'AI']",Москва,[],[],[],,4907133,,менее 50,4.0,МТС: Старт карьеры,Без опыта,Полный рабочий день,Среднее специальное,,,https://www.superjob.ru/vakansii/stazher-data-scientist-51692814.html
51697899,UX-Исследователь (Middle),92000,105000,rub,"['Дизайн', 'IT, Интернет, связь, телеком']","['Web-дизайн (UI/UX)', 'Аналитика', 'Разработка, программирование', 'Юзабилити', 'Управление продуктом']",Москва,[],[],[],"Москва, улица Петровка, 20/1",11714,,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,От 1 года,Полный рабочий день,Не имеет значения,55.764221,37.617321,https://www.superjob.ru/vakansii/ux-issledovatel-51697899.html
