id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
51780921,Дежурный инженер-энергетик,120000,0,rub,"['Строительство, проектирование, недвижимость', 'Услуги, ремонт, сервисное обслуживание']","['Эксплуатация зданий', 'Телекоммуникационное оборудование и сети', 'Промышленное оборудование', 'Торговое, складское, холодильное оборудование', 'Компьютеры и оргтехника']",Москва,"['Тушинская', 'Сходненская', 'Мякинино', 'Волоколамская']","['МЦД2', 'Таганско-Краснопресненская', 'Арбатско-Покровская', 'МЦД2']","['fuchsia', 'violet', 'darkblue', 'fuchsia']","Москва, Походный проезд, 3с2",11714,,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,От 3 лет,Полный рабочий день,Не имеет значения,55.83503,37.408318,https://www.superjob.ru/vakansii/dezhurnyj-inzhener-energetik-51780921.html
51593835,Инженер по проектно-сметной работе,0,0,rub,"['Строительство, проектирование, недвижимость']",['Сметное дело'],Москва,[],[],[],,4942670,,менее 50,4.0,НК Роснефть,Без опыта,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/inzhener-po-proektno-smetnoj-rabote-51593835.html
51697710,Инженер по эксплуатации зданий и сооружений,0,42000,rub,"['Административная работа, секретариат, АХО', 'Строительство, проектирование, недвижимость']","['АХО', 'Отопление, вентиляция и кондиционирование', 'Водоснабжение, канализация', 'Строительно-монтажные работы', 'Эксплуатация зданий']",Истра,[],[],[],,11714,,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,От 3 лет,Полный рабочий день,Среднее специальное,,,https://istra.superjob.ru/vakansii/inzhener-po-ekspluatacii-zdanij-i-sooruzhenij-51697710.html
51697733,Специалист по обслуживанию зданий,52200,60900,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Отопление, вентиляция и кондиционирование', 'Водоснабжение, канализация', 'Эксплуатация зданий', 'Газоснабжение', 'Рабочий персонал, разное']",Санкт-Петербург,"['Электросила', 'Московские Ворота', 'Волковская', 'Бухарестская']","['Московско-Петроградская', 'Московско-Петроградская', 'Фрунзенско-Приморская', 'Фрунзенско-Приморская']","['blue', 'blue', 'violet', 'violet']","Санкт-Петербург, Иркутская улица, 2с2",11714,,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,Без опыта,Полный рабочий день,Не имеет значения,59.885101,30.335541,https://spb.superjob.ru/vakansii/specialist-po-obsluzhivaniyu-zdanij-51697733.html
51697890,Инженер слаботочных систем,0,0,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Эксплуатация зданий', 'Электроснабжение', 'Слаботочные системы и сети', 'Квалифицированный рабочий']",Истра,[],[],[],,11714,,100 — 500,68.0,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,От 3 лет,Полный рабочий день,Не имеет значения,,,https://istra.superjob.ru/vakansii/inzhener-slabotochnyh-sistem-51697890.html
51717864,Техник по эксплуатации зданий и сооружений,80000,120000,rub,"['Строительство, проектирование, недвижимость']",['Эксплуатация зданий'],Москва,['Каширская'],['Большая кольцевая линия'],['cian'],,4216439,,менее 50,1.0,АДМИРАЛ ИНЖИНИРИНГ,От 1 года,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/tehnik-po-ekspluatacii-zdanij-i-sooruzhenij-51717864.html
51754780,Бэкенд‑разработчик стажер,0,0,rub,"['Консалтинг, стратегическое развитие', 'Строительство, проектирование, недвижимость']","['IT-консалтинг', 'Управление проектами (ГИП)']",Москва,[],[],[],,4944244,,менее 50,9.0,Контур,Без опыта,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/bekend-51754780.html
51844438,"Директор магазина-партнер (Самара, Кирова, 90)",58000,110000,rub,"['Строительство, проектирование, недвижимость']","['Проектирование', 'Управление недвижимостью']",Самара,[],[],[],,2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Полный рабочий день,Неполное высшее,,,https://samara.superjob.ru/vakansii/direktor-magazina-partner-51844438.html
51868898,Автокурьер на личном авто (Оплата патента),70000,160000,rub,"['Строительство, проектирование, недвижимость']",['ЖКХ'],Москва,['Войковская'],['Замоскворецкая'],['green'],"г Москва, проезд Старопетровский, д. 4А. 4А",0,,,,,Без опыта,Полный рабочий день,Не имеет значения,55.822704,37.501167,https://www.superjob.ru/vakansii/avtokurer-na-lichnom-avto-51868898.html
51870610,Бригадир на газобетон,200000,0,rub,"['Строительство, проектирование, недвижимость', 'Рабочий персонал']","['Строительно-монтажные работы', 'Эксплуатация зданий', 'Квалифицированный рабочий']",Мытищи,[],[],[],"Московская область, Мытищи",0,,,,,Без опыта,Полный рабочий день,Не имеет значения,55.909969,37.736744,https://mytischi.superjob.ru/vakansii/brigadir-na-gazobeton-51870610.html
