id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
50517236,Слесарь по ремонту малой механизации,85000,0,rub,"['Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Промышленное оборудование', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Москва,"['Таганская', 'Марксистская', 'Калитники']","['Таганско-Краснопресненская', 'Калининско-Солнцевская', 'МЦД2']","['violet', 'yellow', 'fuchsia']","Автомобильный проезд, д. 17",3001761,,1000 — 5000,21.0,Автомобильные дороги Центрального административного округа г. Москвы,От 1 года,Сменный график работы,Не имеет значения,55.729183,37.707108,https://www.superjob.ru/vakansii/slesar-po-remontu-maloj-mehanizacii-50517236.html
50786819,Санитарка/уборщица (Лаборатория клинической иммунологии) (график по собеседованию),55000,0,rub,"['Медицина, фармацевтика, ветеринария', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Другое', 'Клининг', 'Рабочий персонал, разное']",Москва,"['Юго-Западная', 'Коньково', 'Университет Дружбы Народов']","['Сокольническая', 'Калужско-Рижская', 'Троицкая']","['red', 'orange', 'darkspringgreen']","Москва, улица Академика Опарина, 4",2081428,,1000 — 5000,46.0,"ФГБУ ""НМИЦ AГП им. В. И. Кулакова"" Минздрава России",Без опыта,Сменный график работы,Не имеет значения,55.644421,37.500191,https://www.superjob.ru/vakansii/sanitarka-50786819.html
50804844,Шиномонтажник,100000,200000,rub,"['Услуги, ремонт, сервисное обслуживание']",['Автосервис'],Москва,['Южная'],['Серпуховско-Тимирязевская'],['gray'],"Москва, Дорожная улица, 3к5А",1989605,,100 — 500,81.0,Консул медиа,Без опыта,Полный рабочий день,Не имеет значения,55.616116,37.633293,https://www.superjob.ru/vakansii/shinomontazhnik-50804844.html
51689200,Рабочий по обслуживанию поездов,52500,105000,rub,"['Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Клининг', 'Рабочий персонал, разное']",Москва,['Водный стадион'],['Замоскворецкая'],['green'],"г Москва, шоссе Головинское, д. 5 к. 1. 5",0,,,,,Без опыта,Сменный график работы,Не имеет значения,55.840244,37.492023,https://www.superjob.ru/vakansii/rabochij-po-obsluzhivaniyu-poezdov-51689200.html
51689216,Уборщик в метро,52500,105000,rub,"['Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Клининг', 'Рабочий персонал, разное']",Москва,['Беломорская'],['Замоскворецкая'],['green'],"г Москва, проезд Валдайский, д. 8 стр. 2. 8",0,,,,,Без опыта,Сменный график работы,Не имеет значения,55.865734,37.468235,https://www.superjob.ru/vakansii/uborschik-v-metro-51689216.html
51728763,Электромонтер по ремонту и обслуживанию электрооборудования 1/3,65000,65000,rub,"['Услуги, ремонт, сервисное обслуживание']","['Телекоммуникационное оборудование и сети', 'Промышленное оборудование']",Москва,['Лубянка'],['Сокольническая'],['red'],Театральный проезд д.3 стр 1,2671282,,100 — 500,14.0,Чистый город,От 1 года,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-1-51728763.html
51808289,Автослесарь / Автомеханик,100000,200000,rub,"['Промышленность, производство', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Автомобильная промышленность', 'Автосервис', 'Квалифицированный рабочий']",Москва,['Южная'],['Серпуховско-Тимирязевская'],['gray'],"Москва, Дорожная улица, 3к5А",1989605,,100 — 500,81.0,Консул медиа,От 1 года,Полный рабочий день,Не имеет значения,55.616116,37.633293,https://www.superjob.ru/vakansii/avtoslesar-51808289.html
51808334,Слесарь-сборщик автоспецтехники,120000,0,rub,"['Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал', 'Промышленность, производство']","['Промышленное оборудование', 'Рабочий персонал, разное', 'Квалифицированный рабочий', 'Производство металлических изделий и заготовок']",Москва,[],[],[],"Московская обл, г Долгопрудный, мкр Шереметьевский, ул Южная, д 1 стр 16",3797376,,менее 50,337.0,JOBCART.RU,Без опыта,Полный рабочий день,Не имеет значения,55.975365,37.492985,https://www.superjob.ru/vakansii/slesar-sborschik-avtospectehniki-51808334.html
51810578,Инженер по гарантии,130000,0,rub,"['Услуги, ремонт, сервисное обслуживание']","['Автосервис', 'Промышленное оборудование', 'Бытовая техника']",Москва,[],[],[],"Московская обл, г Долгопрудный, мкр Шереметьевский, ул Южная, д 1 стр 16",3797376,,менее 50,337.0,JOBCART.RU,От 1 года,Полный рабочий день,Не имеет значения,55.975365,37.492985,https://www.superjob.ru/vakansii/inzhener-po-garantii-51810578.html
51810666,"Заправщик АЗС Тебойл (ст. м. Владыкино, Окружная)",60000,0,rub,"['Услуги, ремонт, сервисное обслуживание']",['Автосервис'],Москва,['Владыкино'],['МЦК'],['lightpink'],"Москва, Ботаническая улица",0,,,,,Без опыта,Частичная занятость / Совместительство,Не имеет значения,55.834332,37.593803,https://www.superjob.ru/vakansii/zapravschik-azs-tebojl-51810666.html
51836718,Инженер-радиотехник по ремонту стендов и оборудования,110000,130000,rub,"['Промышленность, производство', 'Услуги, ремонт, сервисное обслуживание', 'Сырье']","['Промышленное оборудование', 'Автосервис', 'Промышленное оборудование', 'Бытовая техника', 'Оборудование']",Москва,[],[],[],"г Москва, Дмитровское шоссе, д 58",3797376,,менее 50,337.0,JOBCART.RU,От 1 года,Полный рабочий день,Не имеет значения,55.850647,37.568283,https://www.superjob.ru/vakansii/inzhener-radiotehnik-po-remontu-stendov-i-oborudovaniya-51836718.html
51836732,Электромонтер по ремонту и обслуживанию электрооборудования 3-5 разряда,100000,0,rub,"['Услуги, ремонт, сервисное обслуживание']","['Телекоммуникационное оборудование и сети', 'Промышленное оборудование']",Москва,[],[],[],"г Москва, Дмитровское шоссе, д 58",3797376,,менее 50,337.0,JOBCART.RU,От 1 года,Полный рабочий день,Не имеет значения,55.850647,37.568283,https://www.superjob.ru/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-3-5-razryada-51836732.html
51836753,Слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования,90000,110000,rub,"['Строительство, проектирование, недвижимость', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Отопление, вентиляция и кондиционирование', 'Другое', 'Квалифицированный рабочий']",Москва,[],[],[],"г Москва, Дмитровское шоссе, д 58",3797376,,менее 50,337.0,JOBCART.RU,От 1 года,Полный рабочий день,Не имеет значения,55.850647,37.568283,https://www.superjob.ru/vakansii/slesar-po-remontu-i-obsluzhivaniyu-sistem-ventilyacii-i-kondicionirovaniya-51836753.html
51852658,Уборщик производственных помещений,80000,0,rub,"['Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Клининг', 'Рабочий персонал, разное']",Москва,['Новопеределкино'],['МЦД4'],['mediumaquamarine'],"Москва, Новоорловская улица, 3/1",0,,,,,От 1 года,Полный рабочий день,Не имеет значения,55.6362,37.372494,https://www.superjob.ru/vakansii/uborschik-proizvodstvennyh-pomeschenij-51852658.html
51855677,Администратор автомойки,120000,250000,rub,"['Услуги, ремонт, сервисное обслуживание']",['Автосервис'],Москва,[],[],[],"Москва, Зеленоград, Панфиловский проспект, 6А",0,,,,,Без опыта,Сменный график работы,Не имеет значения,56.008797,37.200043,https://www.superjob.ru/vakansii/administrator-avtomojki-51855677.html
51856990,"Мастер-специалист по химчистке кожи, замши, нубука, ткани обуви и сумок",90000,180000,rub,"['Услуги, ремонт, сервисное обслуживание']","['Химчистки, прачечные']",Москва,['Площадь Гагарина'],['МЦК'],['lightpink'],"Москва, 2-й Рощинский проезд, 8",0,,,,,Без опыта,Полный рабочий день,Не имеет значения,55.706322,37.603012,https://www.superjob.ru/vakansii/master-specialist-po-himchistke-kozhi-51856990.html
34528236,Слесарь-автоэлектрик по ремонту электрооборудования,120000,0,rub,"['Строительство, проектирование, недвижимость', 'Услуги, ремонт, сервисное обслуживание']","['ЖКХ', 'Автосервис']",Москва,"['Таганская', 'Марксистская', 'Калитники']","['Таганско-Краснопресненская', 'Калининско-Солнцевская', 'МЦД2']","['violet', 'yellow', 'fuchsia']","Москва, Автомобильный проезд, 17",3001761,,1000 — 5000,21.0,Автомобильные дороги Центрального административного округа г. Москвы,От 1 года,Полный рабочий день,Среднее специальное,55.729183,37.707108,https://www.superjob.ru/vakansii/slesar-avtoelektrik-po-remontu-elektrooborudovaniya-34528236.html
