,Job name,Posted on,Apply before,Job type,Salary,Category,Region,Related Jobs,Company name,Company status,Job posted by company,Skills,Country
0,Senior Software Engineer,6 days ago,"Apr 29th, 2026",Full-Time,"$50,000 - $74,999 USD",Full-Stack Programming,Anywhere in the World,"['Full-Stack PHP Developer', 'Software engineer', 'WordPress Support Engineer']",WALTER,Pro, 36,,
1,Full-Stack PHP Developer,13 days ago,"Apr 22th, 2026",Full-Time,,Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Software engineer', 'WordPress Support Engineer']",OnTheGoSystems,, 165,PHP React,
2,Software engineer,13 days ago,"Apr 22th, 2026",Full-Time,"$100,000 or more USD",Full-Stack Programming,,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'WordPress Support Engineer']",Sticker Mule,, 86,,🇦🇱 Albania 🇦🇹 Austria 🇧🇪 Belgium 🇧🇬 Bulgaria 🇨🇾 Cyprus 🇨🇿 Czechia 🇩🇪 Germany 🇩🇰 Denmark 🇪🇪 Estonia 🇪🇸 Spain 🇫🇮 Finland 🇫🇷 France 🇬🇷 Greece 🇭🇷 Croatia 🇭🇺 Hungary 🇮🇪 Ireland 🇮🇹 Italy 🇱🇹 Lithuania 🇱🇺 Luxembourg 🇱🇻 Latvia 🇲🇹 Malta 🇳🇱 Netherlands 🇵🇱 Poland 🇵🇹 Portugal 🇷🇴 Romania 🇸🇪 Sweden 🇸🇮 Slovenia 🇸🇰 Slovakia
3,WordPress Support Engineer,19 days ago,"Apr 16th, 2026",Full-Time,,Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'Software engineer']",Yoko Co,, 67,,
4,Full-Stack Engineering Lead,19 days ago,"Apr 16th, 2026",Full-Time,"$75,000 - $99,999 USD",Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'Software engineer']",Rare Days,, 2,,
5,Staff Product Marketing Manager | Germany | Remote,2 days ago,"May 3th, 2026",Full-Time,,Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'Software engineer']",Grafana Labs,, 6,,
6,Staff Product Marketing Manager | Sweden | Remote,2 days ago,"May 3th, 2026",Full-Time,,Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'Software engineer']",Grafana Labs,, 6,,
7,Staff Product Marketing Manager | Spain | Remote,2 days ago,"May 3th, 2026",Full-Time,,Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'Software engineer']",Grafana Labs,, 6,,
8,"Staff Product Designer, Platform",2 days ago,"May 3th, 2026",Full-Time,,Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'Software engineer']",Boulevard,, 2,,
9,Senior Shopify Developer (Remote + Flexible),2 days ago,"May 3th, 2026",Contract,,Full-Stack Programming,Anywhere in the World,"['Senior Software Engineer', 'Full-Stack PHP Developer', 'Software engineer']",Storetasker,, 7,,
